"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","New position for banker || http://t.co/2pfU3uxoHI || Mr Whelan joined ANZ as head of sales in 2004 and is presently the managing director…",FALSE,0,NA,2015-02-17 07:41:34,FALSE,NA,"567589659392634880",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","clanwhelan",0,FALSE,FALSE,NA,NA
"2","Top News Australian woman shocked by balance of $10 million on bank receipt http://t.co/kqYzptXJ8p, see more http://t.co/2JAFrUsDPX",FALSE,0,NA,2015-02-17 07:41:08,FALSE,NA,"567589547392110592",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","TwumblrGram",0,FALSE,FALSE,NA,NA
"3","RT @ANZ_BlueNotes: $ANZ’s @anz_warrenhogan shares his 3 biggest #economic threats of 2015 http://t.co/QN9DNzzWuC #auseco",FALSE,0,NA,2015-02-17 07:40:27,FALSE,NA,"567589377455292416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kgouds108",6,TRUE,FALSE,NA,NA
"4","#adobegenpro Digital Creativity ANZ final live class starts in 20 min!",FALSE,0,NA,2015-02-17 07:37:50,FALSE,NA,"567588718161051649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JasonCarthew",0,FALSE,FALSE,NA,NA
"5","Australian woman shocked by balance of $10 million on bank receipt http://t.co/BoiYVc5wEd",FALSE,0,NA,2015-02-17 07:37:36,FALSE,NA,"567588661101727746",NA,"<a href=""http://codemartial.com/"" rel=""nofollow"">Paijwar Innovation</a>","paijwar",0,FALSE,FALSE,NA,NA
"6","#News #GoldCoast Gold Coast Woman Left With $7.5K Debt After ANZ Deposited $10M Into Her Bank Account http://t.co/7iyczdM5zM",FALSE,0,NA,2015-02-17 07:36:10,FALSE,NA,"567588299041017856",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jasons_GC",0,FALSE,FALSE,NA,NA
"7","Final reminder to sign up for tonight's 4v4 S&amp;D Pro Mod Night Comp. Rego closes in 10 minutes
http://t.co/nWAHGDPq42 #Doesplay",FALSE,1,NA,2015-02-17 07:35:04,FALSE,NA,"567588021076111361",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DoesplayANZCOD",0,FALSE,FALSE,NA,NA
"8","Flight recording pertaining to jitney employ throne bear up to yours disport right: aNZ",FALSE,0,NA,2015-02-17 07:32:41,FALSE,NA,"567587424432168961",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PaulRalph10",0,FALSE,FALSE,NA,NA
"9","ANZ Bank cet1 ratio abysmally low: 8.4%  http://t.co/PyvJA4OWF4",FALSE,0,NA,2015-02-17 07:31:57,FALSE,NA,"567587237936652291",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","cetier1",0,FALSE,FALSE,NA,NA
"10","$LEDR:US Markets Live: ANZ punished, Seek slammed #MARKET LEADER INC  http://t.co/AC0dAZm9Xz #NASDAQ",FALSE,0,NA,2015-02-17 07:27:54,FALSE,NA,"567586219782320128",NA,"<a href=""http://finsents.com"" rel=""nofollow"">FinSentS_NASDAQ</a>","FinSentS_NASDAQ",0,FALSE,FALSE,NA,NA
"11","@orangeemptyseat Orange Penrith is a shit joint compared to Parra stadium, thank god my teams play at Parra and not that place. ANZ ditto",FALSE,0,"orangeemptyseat",2015-02-17 07:26:39,FALSE,"567518435727269888","567585904681029632","1490330245","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WSWanderingEels",0,FALSE,FALSE,NA,NA
"12","Get ur ISO 9001/14001/18001/22000/27000 CE/HACCP/NABH at very sp. price JAZ-ANZ/DAC/UKAS BIS/ISI/FSSAI/FDA certifica…http://t.co/cB04TnYsUP",FALSE,0,NA,2015-02-17 07:25:26,FALSE,NA,"567585596399296512",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","RaajeshP",0,FALSE,FALSE,NA,NA
"13","ANZ's first quarter update disappoints investors, raises concerns on strategy http://t.co/NnUv92Eut0",FALSE,1,NA,2015-02-17 07:25:24,FALSE,NA,"567585590388858880",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","cetier1",0,FALSE,FALSE,NA,NA
"14","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:24:49,FALSE,NA,"567585443512741888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","politicalrod",6,TRUE,FALSE,NA,NA
"15","RT @nzheraldbiz: The ANZ bank expects prices will continue to firm at tomorrow's world dairy auction http://t.co/hwSqdqwOPs http://t.co/OR2…",FALSE,0,NA,2015-02-17 07:21:32,FALSE,NA,"567584617256206336",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","breaking_nz",1,TRUE,FALSE,NA,NA
"16","Today stats: 3 followers, One unfollower via http://t.co/A7qsK58BJT",FALSE,0,NA,2015-02-17 07:20:44,FALSE,NA,"567584415522357249",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","PrenCo_De_Anz",0,FALSE,FALSE,NA,NA
"17","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/tnfYXqTouu, see more http://t.co/HxL19VYuqN",FALSE,0,NA,2015-02-17 07:20:34,FALSE,NA,"567584375140020225",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","BerriePelser",0,FALSE,FALSE,NA,NA
"18","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/F28E4hQ0So, see more http://t.co/ARcHtIl5ov",FALSE,0,NA,2015-02-17 07:20:04,FALSE,NA,"567584245603110912",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","Viken_shrestha",0,FALSE,FALSE,NA,NA
"19","Congrats to Team @ANZ_AU! #BallaratCup2015 http://t.co/WwuRC1buFM",FALSE,0,NA,2015-02-17 07:18:12,FALSE,NA,"567583776994099201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YaloakPolo",0,FALSE,FALSE,NA,NA
"20","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:17:44,FALSE,NA,"567583662481227776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AucklandIsland",6,TRUE,FALSE,NA,NA
"21","RT @gramercypark: Australia’s @ANZ_AU Bank have created these cool ‘GAYTM' Cash Machines for the Sydney Gay &amp; Lesbian Mardi Gras! #fun http…",FALSE,0,NA,2015-02-17 07:16:52,FALSE,NA,"567583441630134273",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","craigsh4w",8,TRUE,FALSE,NA,NA
"22","Australian woman shocked by balance of $10 million on bank receipt http://t.co/8nYL6TKcbP",FALSE,0,NA,2015-02-17 07:15:39,FALSE,NA,"567583135484108800",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","NewStuffonMESH",0,FALSE,FALSE,NA,NA
"23","Australian woman shocked by balance of $10 million on bank receipt http://t.co/2kCqxgWw4l #themesh #technology",FALSE,0,NA,2015-02-17 07:15:37,FALSE,NA,"567583129531994113",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NewStuffonMESH",0,FALSE,FALSE,NA,NA
"24","The ANZ bank expects prices will continue to firm at tomorrow's world dairy auction http://t.co/hwSqdqwOPs http://t.co/OR2FaNJCet",FALSE,0,NA,2015-02-17 07:15:25,FALSE,NA,"567583077980200960",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","nzheraldbiz",1,FALSE,FALSE,NA,NA
"25","Tonight's Pro Series 4v4 S&amp;D Pro Mod Night Comp. Rego closes in 1 Hour 
http://t.co/nWAHGDPq42 #Doesplay",FALSE,0,NA,2015-02-17 07:15:05,FALSE,NA,"567582995372994561",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DoesplayANZCOD",0,FALSE,FALSE,NA,NA
"26","Today stats: 5 followers, 3 unfollowers and followed 7 people via http://t.co/gOEGxu1xme",FALSE,1,NA,2015-02-17 07:14:46,FALSE,NA,"567582913449840641",NA,"<a href=""https://unfollowers.com"" rel=""nofollow"">Unfollowers</a>","Nawal_aNZ",1,FALSE,FALSE,NA,NA
"27","All I think when I see the ANZ cricket ad is ""for I have commanded armies... And conquered worlds"". #playstation",FALSE,0,NA,2015-02-17 07:10:32,FALSE,NA,"567581846481825793",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","paulbrislen",0,FALSE,FALSE,NA,NA
"28","Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia http://t.co/5YHNbNFUfz #australia",FALSE,0,NA,2015-02-17 07:10:29,FALSE,NA,"567581837342826496",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","australia_agent",0,FALSE,FALSE,NA,NA
"29","ANZ's profit disappoints investors http://t.co/gGUNSOXxHZ #australia",FALSE,0,NA,2015-02-17 07:10:23,FALSE,NA,"567581812164407296",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","australia_agent",0,FALSE,FALSE,NA,NA
"30","ANZ's profit disappoints investors http://t.co/O4vCpTnd1B #australia",FALSE,0,NA,2015-02-17 07:10:23,FALSE,NA,"567581811182944256",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","australia_agent",0,FALSE,FALSE,NA,NA
"31","FirstPac nears acquisition of ANZ firm http://t.co/H06kyLSWFj",FALSE,0,NA,2015-02-17 07:09:14,FALSE,NA,"567581519531606017",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","philstarbiznews",0,FALSE,FALSE,NA,NA
"32","@frantanztic awww omg Anz! Thank you <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> (and I know, I post way too many selfies)",FALSE,1,"frantanztic",2015-02-17 07:08:30,FALSE,"567580954118483968","567581338531024896","47289047","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sabryvassao",0,FALSE,FALSE,NA,NA
"33","Top execs sharing what they love about #PR and tips to break into the industry, via Lilian Dunlop http://t.co/dXX1dBHeCl #valentines",FALSE,3,NA,2015-02-17 07:08:21,FALSE,NA,"567581300572188672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lewispr_anz",0,FALSE,FALSE,NA,NA
"34","Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia http://t.co/1VqUlhJcgG",FALSE,0,NA,2015-02-17 07:07:18,FALSE,NA,"567581035378900993",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","raybamgbala",0,FALSE,FALSE,NA,NA
"35","#News #GoldCoast Gold Coast Woman Left With $7.5K Debt After ANZ Deposited $10M Into Her Bank Account http://t.co/zOgwxsH4ae",FALSE,0,NA,2015-02-17 07:05:11,FALSE,NA,"567580500634525698",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jasons_GC",0,FALSE,FALSE,NA,NA
"36","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:03:34,FALSE,NA,"567580096240680960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DieselfitterKn",6,TRUE,FALSE,NA,NA
"37","RT @rebeccapam: Enjoyed hosting @ANZ_BlueNotes last week to talk about by latest article https://t.co/ZGkMxrOPda #socialessentials http://t…",FALSE,0,NA,2015-02-17 07:02:48,FALSE,NA,"567579904057671680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","priceyinoz",3,TRUE,FALSE,NA,NA
"38","Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia http://t.co/nLYjdLqgPA",FALSE,0,NA,2015-02-17 07:02:39,FALSE,NA,"567579863155236866",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","bizlunchbox",0,FALSE,FALSE,NA,NA
"39","RT @ANZ_BlueNotes: Mike Smith on $ANZ's quarterly earnings http://t.co/kRPXcNxtAH http://t.co/cWOH7EsKIz",FALSE,0,NA,2015-02-17 07:01:24,FALSE,NA,"567579549932613632",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","johnkingANZ",1,TRUE,FALSE,NA,NA
"40","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:01:11,FALSE,NA,"567579495675072512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juliefairey",6,TRUE,FALSE,NA,NA
"41","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:01:00,FALSE,NA,"567579449260908544",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","GrowFromHereNZ",6,TRUE,FALSE,NA,NA
"42","#Tweak is joining #Shotgun ! Combining teams to drive review forward -- fast. Get the details: http://t.co/9qVvljBd1y http://t.co/POWHsS6Bx9",FALSE,0,NA,2015-02-17 07:00:30,FALSE,NA,"567579323021135872",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Autodesk_ME_ANZ",0,FALSE,FALSE,NA,NA
"43","HEY VODAFONE I NEED A CLEAR STABLE LINE FOR 10 MINS SO I CAN TELL THE MANAGER OF LIONS FINANCE THAT THE ANZ BANK CAN FUCK THEMSELVES KTHXBAI",FALSE,0,NA,2015-02-17 07:00:09,FALSE,NA,"567579234911014912",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Shckwish",0,FALSE,FALSE,NA,NA
"44","RT @helenkellyCTU: ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWj…",FALSE,0,NA,2015-02-17 07:00:02,FALSE,NA,"567579205156605952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realstevegray",6,TRUE,FALSE,NA,NA
"45","ANZ tried 2 stop this today. I thought they were big on human rights - oh not workers rights I guess? http://t.co/DrtcWjyo6l",FALSE,4,NA,2015-02-17 06:59:07,FALSE,NA,"567578974365052930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helenkellyCTU",6,FALSE,FALSE,NA,NA
"46","RT @BrissieLiveNews: Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia http://t.co/cAC539dkzH (News) #brisbane #qld",FALSE,0,NA,2015-02-17 06:58:46,FALSE,NA,"567578889082265601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","escargotbistrot",1,TRUE,FALSE,NA,NA
"47","@Anz_pilicueta that would make a good header",FALSE,0,"Anz_pilicueta",2015-02-17 06:58:10,FALSE,"567577652710490112","567578735470059520","1925368268","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BreakingBill",0,FALSE,FALSE,NA,NA
"48","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/uK0eehwZxG, see more http://t.co/o2BDzRPqMb",FALSE,0,NA,2015-02-17 06:57:48,FALSE,NA,"567578643611013120",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","hjalmarcito",0,FALSE,FALSE,NA,NA
"49","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/KyabSRjOSd, see more http://t.co/1tYrZFtWl7",FALSE,0,NA,2015-02-17 06:57:15,FALSE,NA,"567578506918645762",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","GOVManslaughter",0,FALSE,FALSE,NA,NA
"50","Our new CEO, talking about startups and entrepreneurship. Fascinating. #ANZ http://t.co/4aEg5Bt5S0",FALSE,6,NA,2015-02-17 06:55:21,FALSE,NA,"567578027421614080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AdsJacobs",0,FALSE,FALSE,NA,NA
"51","RT @ANZ_BlueNotes: Shayne Elliott on $ANZ's quarterly trading update http://t.co/bV5dOAF3NF http://t.co/JyeLLX4dHN",FALSE,0,NA,2015-02-17 06:55:15,FALSE,NA,"567578002981023745",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","lyndamann13",2,TRUE,FALSE,NA,NA
"52","Eiffel Tower vs The London Bridge, and this time the London isn't falling down @ChelseaFC http://t.co/vDDSa5ESRz",FALSE,4,NA,2015-02-17 06:53:52,FALSE,NA,"567577652710490112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anz_pilicueta",1,FALSE,FALSE,NA,NA
"53","Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia: ANZ Bank chief… http://t.co/qbnL3lorCw http://t.co/XOGwEiZznk",FALSE,0,NA,2015-02-17 06:53:41,FALSE,NA,"567577606128545792",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","brisbanejournal",0,FALSE,FALSE,NA,NA
"54","Mike Smith warns 2015 will be tough after ANZ hits stumbling block in Asia http://t.co/cAC539dkzH (News) #brisbane #qld",FALSE,0,NA,2015-02-17 06:53:40,FALSE,NA,"567577604723470338",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","BrissieLiveNews",1,FALSE,FALSE,NA,NA
"55","Newly appointed CEO of @ANZ_AU @markwhelan15 talking #growth with the ANZ Biz Growth Program companies @UniversitySA http://t.co/QFwHKmqmNJ",FALSE,0,NA,2015-02-17 06:53:15,FALSE,NA,"567577499765207040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UniSA_CBG",0,FALSE,FALSE,NA,NA
"56","Australian woman shocked by balance of $10 million on bank receipt http://t.co/ViVcU267yv",FALSE,0,NA,2015-02-17 06:47:35,FALSE,NA,"567576074754617344",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","LukeSeve",0,FALSE,FALSE,NA,NA
"57","Tonight's Pro Series 4v4 S7D Pro Mod Night Comp. Rego closes in 1 Hour 
http://t.co/nWAHGDPq42 #Doesplay http://t.co/yOW3B61DNK",FALSE,1,NA,2015-02-17 06:45:09,FALSE,NA,"567575458636525569",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DoesplayANZCOD",0,FALSE,FALSE,NA,NA
"58","RT @MufcDevilUpdate: Arsenal's record against Manchester United since 2009:

LLDLLLLWLLLDLDL 

#MUFC",FALSE,0,NA,2015-02-17 06:41:13,FALSE,NA,"567574469850320896",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","Wawan_Anz",434,TRUE,FALSE,NA,NA
"59","RT @EmmanuelGonot: Mashable: Australian woman shocked by balance of $10 million on bank receipt http://t.co/G4uhtOvwqK",FALSE,0,NA,2015-02-17 06:40:41,FALSE,NA,"567574338040504320",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","VickieSerena_",1,TRUE,FALSE,NA,NA
"60","@firstnamelee Hi Lee Huy, official pictures from the event will be released shortly. Our Lifestream is available on YouTube :)",FALSE,0,"firstnamelee",2015-02-17 06:38:51,FALSE,"567541491438858241","567573873617416192","23942186","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lenovo_ANZ",0,FALSE,FALSE,NA,NA
"61","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/pvZQ5j2CYL, see more http://t.co/eFjcbk1O2r",FALSE,0,NA,2015-02-17 06:37:05,FALSE,NA,"567573432267980801",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","Lets_B_Real",0,FALSE,FALSE,NA,NA
"62","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/Q2R5DMo7Nm, see more http://t.co/sPcPmzHc6y",FALSE,0,NA,2015-02-17 06:37:05,FALSE,NA,"567573430061776897",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","ChristineMiller",0,FALSE,FALSE,NA,NA
"63","Top story: Australian woman shocked by balance of $10 million on bank receipt http://t.co/XGaSDmWI34, see more http://t.co/J686GrVp2P",FALSE,0,NA,2015-02-17 06:36:58,FALSE,NA,"567573403008528384",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","Remi_Vladuceanu",0,FALSE,FALSE,NA,NA
"64","Aus #online ad market is set to grow to $3.52bn by 2019, according to @Frost_Sullivan via @wf_techdec http://t.co/ip2aOmfOsh #advertising",FALSE,2,NA,2015-02-17 06:36:51,FALSE,NA,"567573370296745984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lewispr_anz",0,FALSE,FALSE,NA,NA
"65","RT @rezyn8: Eggs? Aisle Five v PSB 8pm 2nite #Hype @ROOTiaguz @Sunset_SC2 @NvDox @MaynardeSC2 @HooblieWooblie @inFeZa @PetrifySC2 http://t.…",FALSE,0,NA,2015-02-17 06:36:13,FALSE,NA,"567573212884529153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HooblieWooblie",1,TRUE,FALSE,NA,NA
"66","RT @aus_business: BREAKING: ANZ flags dividend at the top of FY15 target range http://t.co/pA0oKD4N2B #businessnow #ausbiz http://t.co/GPoK…",FALSE,0,NA,2015-02-17 06:36:05,FALSE,NA,"567573179506257921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaryannJamieson",14,TRUE,FALSE,NA,NA
"67","Australian woman shocked by balance of $10 million on bank receipt http://t.co/219mQqkKeF",FALSE,0,NA,2015-02-17 06:34:20,FALSE,NA,"567572737929928704",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","SMology",0,FALSE,FALSE,NA,NA
"68","Australian woman shocked by balance of $10 million on bank receipt: An Australian woman disco... http://t.co/BJlSFnLbil #News #IT #World",FALSE,0,NA,2015-02-17 06:34:19,FALSE,NA,"567572735513993216",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GlennMRasmussen",0,FALSE,FALSE,NA,NA
"69","#News #GoldCoast Gold Coast Woman Left With $7.5K Debt After ANZ Deposited $10M Into Her Bank Account http://t.co/E5KV6cIS4h",FALSE,0,NA,2015-02-17 06:34:08,FALSE,NA,"567572688386785281",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jasons_GC",0,FALSE,FALSE,NA,NA
"70","Australian woman shocked by balance of $10 million on bank receipt http://t.co/eQ7bi7SUhd #social",FALSE,0,NA,2015-02-17 06:33:45,FALSE,NA,"567572589858398208",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","chris_salazar",0,FALSE,FALSE,NA,NA
"71","Australian woman shocked by balance of $10 million on bank receipt: An Australian woman discovered an availabl... http://t.co/FHf92AzP0i",FALSE,0,NA,2015-02-17 06:33:43,FALSE,NA,"567572585202741248",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","TechRebels",0,FALSE,FALSE,NA,NA
"72","Australian woman shocked by balance of $10 million on bank receipt http://t.co/xKfBOBHTZS | Mashable",FALSE,0,NA,2015-02-17 06:33:43,FALSE,NA,"567572583223021568",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","JorgeContrerasN",0,FALSE,FALSE,NA,NA
"73","@aus_business funding the destruction of endangered forest for a coal mine at #leardblockade has worked for @ANZ_AU http://t.co/mmbxjFGFSO",FALSE,0,"aus_business",2015-02-17 06:32:27,FALSE,"567436840810999808","567572263130525696","26192899","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stereogamous",0,FALSE,FALSE,NA,NA
"74","Australian woman shocked by balance of $10 million on bank receipt http://t.co/BoiYVc5wEd",FALSE,0,NA,2015-02-17 06:31:05,FALSE,NA,"567571921902907393",NA,"<a href=""http://codemartial.com/"" rel=""nofollow"">Paijwar Innovation</a>","paijwar",0,FALSE,FALSE,NA,NA
"75","While on the subject, generally interested if people enjoyed 2014 or 2015 APAC/ANZ Champs more? And why?",FALSE,0,NA,2015-02-17 06:31:04,FALSE,NA,"567571917868003329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ACLBeware",0,FALSE,FALSE,NA,NA
"76","RT @lolajagger: Talkin' all things Social Media and Technology at the @Lenovo_ANZ x #techmyway Event with Ashton… http://t.co/gBUQ5i6ZTv",FALSE,2,NA,2015-02-17 06:30:26,FALSE,NA,"567571757381726208",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Donazzan",0,FALSE,FALSE,NA,NA
"77","@ANZ_AU i have an offset morgage  acct  and i was wonderin what us the dailt cash out limit? would (cont) http://t.co/OCDitkqRmL",FALSE,0,"ANZ_AU",2015-02-17 06:30:26,FALSE,NA,"567571755489705984","300538480","<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>","porkfatt",0,FALSE,FALSE,NA,NA
"78","RT @northernmystics: Quick snap of Maria Tutaia interviewing Debbie Fuller at today's ANZ Championship season launch in Auckland. It's... h…",FALSE,0,NA,2015-02-17 06:27:35,FALSE,NA,"567571041598205952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdoreDelena31",1,TRUE,FALSE,NA,NA
"79","@thisisbwright  Happy Birthday to you!)",FALSE,0,"thisisbwright",2015-02-17 06:26:33,FALSE,NA,"567570779903377408","612662672","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chernousova_anz",0,FALSE,FALSE,NA,NA
"80","Quick snap of Maria Tutaia interviewing Debbie Fuller at today's ANZ Championship season launch in Auckland. It's... http://t.co/dLHxlStZEo",FALSE,0,NA,2015-02-17 06:26:33,FALSE,NA,"567570778925711360",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","northernmystics",1,FALSE,FALSE,NA,NA
"81","New article: UPDATE 2-ANZ's Q1 update disappoints investors, raises concerns on strategy read more at here http://t.co/fUiZRMBQTf",FALSE,0,NA,2015-02-17 06:26:02,FALSE,NA,"567570649174921216",NA,"<a href=""http://www.fecima.com"" rel=""nofollow"">fecimasocialsubmit</a>","fecima",0,FALSE,FALSE,NA,NA
"82","RT @CommSec: Local shares closed lower. #ASX 200 -0.5%. $CBA (ex-div) &amp; $ANZ (trading update) biggest drags. Miners +0.1% &amp; energy -0.1% #a…",FALSE,0,NA,2015-02-17 06:22:39,FALSE,NA,"567569798159028225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KrishanCapEx",4,TRUE,FALSE,NA,NA
